,link,brand,product,price,cosmetic_condition,internal_storage,battery_power_mah,warranty_period,warranty_type,color,main_camera_resolution_range,screen_size,ram_capacity,mobile_connection_speed,camera_resolution,front_camera_count,screen_resolution,screen_technology,front_camera_resolution,front_camera_resolution_range,display_technology,main_camera_flash,front_camera_flash,screen_type,rear_camera_count,screen_size_range,operating_system,dual_sim,wireless_charging,face_recognition,touchscreen,charging_port,nfc,screen_refresh_rate,headphone_jack,charging_speed,expandable_storage,battery_capacity_range,fingerprint_reader,water_dust_resistance,artificial_intelligence,phone_model,video_recording_resolution,country_of_origin,radio,cpu_range,video_call,repairability,ce_compliance,importer_representative,manufacturer_info
264,https://www.trendyol.com/apple/yenilenmis-iphone-14-256-gb-sari-cep-telefonu-12-ay-garantili-a-kalite-p-887252990,Apple Yenilenmiş iPhone 14256 GB Sarı Cep Telefonu (12 Ay Garantili) - A Kalite,,45.549 TL,A seviye-Mükemmel,256 GB,,1 Yıl,,Sarı,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,https://www.trendyol.com/apple/yenilenmis-iphone-15-pro-256gb-b-kalite-natural-titanyum-p-866938143,Apple Yenilenmiş IPHONE 15PRO 256GB -B Kalite- Natural Titanyum,,,B seviye-Çok İyi,256 GB,,1 Yıl,Yenilenmiş Ürün (12 Ay Garanti),Gri,40 - 60 MP,"6,1 inç",8 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,https://www.trendyol.com/infinix/smart-8-4gb-128gb-ram-akilli-cep-telefonu-gold-ithalatci-garantili-p-857858869,INFINIX Smart 8  4GB-128GBRam Akıllı Cep Telefonu  Gold İthalatçı Garantili,Smart 8  4GB-128GB,5.899 TL,,128 GB,5000,2 Yıl,İthalatçı Garantili,Altın,10 - 15 MP,"6,6 inç",4 GB,4.5G,13 MP,1,HD+,,5 - 8 MP,5 - 10 MP,LCD,Var,Var,LCD,2,6.5'' - 7'',Android,Var,Yok,Yok,Var,USB Type-C,Yok,60 Hz,3.5 mm,10-20 W,Var,4500-5000 mAh,Yok,Yok,Yok,,,,,,,,,,
267,https://www.trendyol.com/fitgo/tuslu-cep-telefonu-yasli-hizli-arama-p-831846662,FİTGO Tuşlu Cep TelefonuYaşlı Hızlı Arama,Tuşlu Cep Telefonu,1.199 TL,,Yok,,,İthalatçı Garantili,Beyaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,https://www.trendyol.com/apple/yenilenmis-iphone-11-64-gb-beyaz-cep-telefonu-12-ay-garantili-p-359372113,Apple Yenilenmiş iPhone 11 64GB Beyaz Cep Telefonu (12 Ay Garantili),Yenilenmiş iPhone 11 64,17.000 TL,A seviye-Mükemmel,64 GB,2800 ve üstü,1 Yıl,İthalatçı Garantili,Beyaz,10 - 15 MP,6 inç ve üstü,,,10 - 15 MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,https://www.trendyol.com/xiaomi/yenilenmis-xiaomi-12t-pro-256gb-siyah-cep-telefonu-12-ay-garantili-a-kalite-p-900201661,Xiaomi YENİLENMİŞ XIAOMI 12TPRO 256GB SİYAH CEP TELEFONU (12 AY GARANTİLİ) - A KALİTE,,26.999 TL,A seviye-Mükemmel,256 GB,4500,1 Yıl,,Siyah,,"6,1 inç",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,https://www.trendyol.com/xiaomi/yenilenmis-12t-pro-256gb-mavi-cep-telefonu-12-ay-garantili-b-kalite-p-895619255,Xiaomi YENİLENMİŞ  12T PRO256GB MAVİ CEP TELEFONU (12 AY GARANTİLİ) - B KALİTE,,26.699 TL,B seviye-Çok İyi,256 GB,,1 Yıl,İthalatçı Garantili,Mavi,,"6,53 inç",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,https://www.trendyol.com/samsung/yenilenmis-galaxy-s22-128-gb-yesil-cep-telefonu-c-kalite-p-751885890,Samsung Yenilenmiş Galaxy S22128 GB Yeşil Cep Telefonu C Kalite,Yenilenmiş Galaxy S22,19.399 TL,C seviye-İyi,128 GB,,1 Yıl,,Yeşil,40 - 60 MP,"6,0 inç",8 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,https://www.trendyol.com/akyuz-makine/casper-via-x30-plus-8gb-256gb-platin-antrasit-cep-telefonu-p-905636165,akyüz makine Casper Via X30Plus 8GB/256GB Platin Antrasit Cep Telefonu,,7.100 TL,,256 GB,4000 - 5000,2 Yıl,Casper Türkiye Garantili,Çok Renkli,20 - 40 MP,"6,8 inç",16 GB,4G,20 MP,,FHD+,,8 - 14 MP,,,,,Full HD,3,6.5'' - 7'',Android,Var,Yok,Var,Var,USB Type-C,Var,60 Hz,3.5 mm,10-20 W,Var,4500-5000 mAh,Var,Yok,Yok,,,,,,,,,,
273,https://www.trendyol.com/apple/yenilenmis-iphone-14-pro-max-512-gb-derin-mor-cep-telefonu-12-ay-garantili-c-kalite-p-851712813,Apple Yenilenmiş Iphone 14Pro Max 512 Gb Derin Mor Cep Telefonu (12 AY GARANTİLİ) - C Kalite,,68.499 TL,C seviye-İyi,512 GB,,1 Yıl,Yenilenmiş Ürün (12 Ay Garanti),Lacivert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
